név;város;ország;magasság;emelet;épült
Tour Assur;Párizs;Franciaország;159;39;1974
Plaza Büro Center;Frankfurt;Németország;159;47;1976
Rondo 1-B;Varsó;Lengyelország;159;40;2006
Sabanci Center;Isztambul;Törökország;158;39;1993
Torre Picasso;Madrid;Spanyolország;156;43;1988
One Churchill Place;London;Anglia;156;32;2004
Tour Adria;Párizs;Franciaország;155;40;2002
Tour Egee;Párizs;Franciaország;155;40;1999
Deutsche Bank Twin Towers I;Frankurt;Németország;155;40;1984
Deutsche Bank Twin Towers II;Frankurt;Németország;155;38;1984
Avenue, 77 block 1;Moszkva;Oroszország;155;43;2008
Hotel Arts Barcelona;Barcelona;Spanyolország;154;44;1992
Torre Mapfre;Barcelona;Spanyolország;154;40;1992
Skyper;Framkfurt;Németország;154;38;2004
Süzer Plaza Ritz-Carlton;Isztambul;Törökország;154;34;1998
Polat Tower Residence;Isztambul;Törökország;153;40;2001
25 Bank Street;London;Anglia;153;33;2003
40 Bank Street;London;Anglia;153;33;2003
Tour Ariane;Párizs;Franciaország;152;36;1972
Gebouw Delftse Poort 1;Rotterdam;Hollandia;151;41;1992
Gazprom;Moszkva;Oroszország;151;35;1994
10 Upper Bank Street;London;Anglia;151;32;2003
Hochhaus Neue Donau;Bécs;Ausztria;150;34;2001
Tour du Midi;Brüsszel;Belgium;150;38;1967
Rembrandt Torony;Amszterdam;150;36;1995
Millennium Torony;Rotterdam;Hollandia;149;35;2000
Europa Torony;Vilnius;Litvánia;148;33;2004
Köln Turm;Köln;Németország;148;43;2001
Eurotower;Frankfurt;Németország;148;39;1977
Pan Peninsula;London;Anglia;147.4;48;2008
Colonia-Hochhaus;Köln;Németország;147;42;1972
Sun Plaza;Isztambul;Törökország;147;38;2005
Dom v Sokolnyikah;Moszkva;Oroszország;146.9;43;2008
Hochaus Uptown München;München;Németország;146;38;2004
Finance Tower;Brüsszel;Belgium;145;36;1984
Dexia Tower;Brüsszel;Belgium;145;38;2006
Jen-Tower;Jéna;Németország;145;30;1973
Neguri Gane;Benidorm;Spanyolország;145;40;2002
Torre Glòries;Barcelona;Spanyolország;144.4;33;2004
Tour de Bretagne;Nantes;Franciaország;144;32;1976
Warsaw Financial Center;Varsó;Lengyelország;144;35;1999
Tour Pleyel;Párizs;Franciaország;143;37;1972
Metrocity Tower 2;Isztambul;Törökország;143;35;2000
Metrocity Tower 3;Isztambul;Törökország;143;35;2000
TAT, Istanbul Tower 1;Isztambul;Törökország;143;34;2000
TAT, Istanbul Tower 2;Isztambul;Törökország;143;34;2000
Metrocity Tower 1;Isztambul;Törökország;143;31;2000
Guy's Tower;London;Anglia;142.6;34;1974
Tour CBX;Párizs;Franciaország;142;36;2005
City-Haus;Frankfurt;Németország;142;42;1974
Frankfurter Büro Center;Frankfurt;Németország;142;40;1980
City-Hochohaus-Leipzig;Lipcse;Németország;142;36;1971
Hoftoren;Hága;Hollandia;142;30;2003
Westpoint Tower;Tilburg;Hollandia;142;48;2004
Torre de Madrid;Madrid;Spanyolország;142;37;1957
Usce Tower;Belgrád;Szerbia;141.1;24;2004
Montevideo;Rotterdam;Hollandia;140;43;2005
Centrum LIM;Varsó;Lengyelország;140;43;1989
West Tower;Liverpool;Anglia;140;40;2007
IZD Tower;Bécs;Ausztria;140;37;2001
Izmailovszkij blokk 1;Moszkva;Oroszország;140;37;2008
Izmailovszkij blokk 2;Moszkva;Oroszország;140;37;2008
Sabancı Center 2;Isztambul;Törökország;140;34;1993
Sisli Elit Residence;Isztambul;Törökország;140;35;2000
